"profile_id","dataset_id","country_id","latitude","longitude","cfao_version","cfao_major_group","cwrb_version","cwrb_reference_soil_group","cstx_version","cstx_order_name","translated"
209473,{MX-INEGI},MX,23.02296370,-99.72993468,1974,Xerosols,,,,,true
209483,{MX-INEGI},MX,23.84639329,-97.87955409,1974,Xerosols,,,,,true
209524,{MX-INEGI},MX,22.98814442,-100.54444615,1974,Xerosols,,,,,true
209555,{MX-INEGI},MX,22.69534195,-101.29754805,1974,Xerosols,,,,,true
209564,{MX-INEGI},MX,22.59126053,-101.90558296,1974,Xerosols,,,,,true
209659,{MX-INEGI},MX,22.60038600,-100.00805753,1974,Xerosols,,,,,true
210599,{MX-INEGI},MX,27.19030136,-113.97350121,1974,Xerosols,,,,,true
210610,{MX-INEGI},MX,27.86965780,-113.08117426,1974,Yermosols,,,,,true
210615,{MX-INEGI},MX,27.81592805,-113.07143513,1974,Yermosols,,,,,true
210616,{MX-INEGI},MX,27.81350759,-113.39274373,1974,Yermosols,,,,,true
210629,{MX-INEGI},MX,27.52746035,-112.34480204,1974,Yermosols,,,,,true
210645,{MX-INEGI},MX,27.39017656,-112.52727402,1974,Yermosols,,,,,true
210659,{MX-INEGI},MX,27.30391884,-112.99983329,1974,Yermosols,,,,,true
210660,{MX-INEGI},MX,27.30646944,-112.89366308,1974,Yermosols,,,,,true
210663,{MX-INEGI},MX,27.28144021,-112.71647720,1974,Yermosols,,,,,true
210695,{MX-INEGI},MX,24.92993196,-111.49554616,1974,Yermosols,,,,,true
210699,{MX-INEGI},MX,24.88610380,-111.57841550,1974,Xerosols,,,,,true
210700,{MX-INEGI},MX,24.86011676,-111.67110360,1974,Yermosols,,,,,true
210720,{MX-INEGI},MX,24.62681586,-110.67718433,1974,Yermosols,,,,,true
210724,{MX-INEGI},MX,24.60422454,-111.32072239,1974,Xerosols,,,,,true
210726,{MX-INEGI},MX,24.58196208,-111.13449869,1974,Yermosols,,,,,true
210728,{MX-INEGI},MX,24.56207495,-110.81661228,1974,Xerosols,,,,,true
210760,{MX-INEGI},MX,24.09574723,-110.70281142,1974,Yermosols,,,,,true
210765,{MX-INEGI},MX,27.98030474,-110.72381540,1974,Xerosols,,,,,true
