profile_id,profile_layer_id,upper_depth,lower_depth,tceq_value_avg,clay_value_avg,elcosp_value_avg,orgc_value_avg,phaq_value_avg,sand_value_avg,silt_value_avg,latitude,longitude
216499,1063120,7,30,,33.0,0.10000000099999999,6.0,7.599999900000001,32.0,35.0,20.5341834,-99.07741719
216499,1063122,0,7,,46.0,0.200000003,19.0,7.599999900000001,24.0,30.0,20.5341834,-99.07741719
216499,1063123,80,105,,24.0,0.10000000099999999,5.0,7.80000019,38.0,38.0,20.5341834,-99.07741719
216499,1063124,30,50,,35.0,0.10000000099999999,14.0,7.599999900000001,30.0,35.0,20.5341834,-99.07741719
216501,1063129,105,130,10.0,,0.10000000099999999,1.0,8.0,,,20.9685869,-99.16609986
216501,1063132,72,105,480.0,,0.10000000099999999,0.0,8.30000019,,,20.9685869,-99.16609986
216501,1063130,0,30,55.0,14.0,0.10000000099999999,2.0,8.10000038,80.0,6.0,20.9685869,-99.16609986
216501,1063131,30,72,125.0,6.0,0.10000000099999999,2.0,8.19999981,88.0,6.0,20.9685869,-99.16609986
216503,1063137,0,17,,,0.800000012,64.0,7.099999900000001,,,20.38512638,-98.84827368
217115,1065372,0,8,,,3.79999995,2.0,8.5,,,26.88608227,-102.15915128
217115,1065373,8,17,,,6.80000019,2.0,9.0,,,26.88608227,-102.15915128
217115,1065374,17,20,,,39.0999985,2.0,9.5,,,26.88608227,-102.15915128
217115,1065375,20,50,,,16.5,2.0,9.19999981,,,26.88608227,-102.15915128
217115,1065371,50,80,,,3.4000001,1.0,8.60000038,,,26.88608227,-102.15915128
216519,1063245,80,96,472.0,,3.4000001,2.0,7.900000099999999,,,20.19702379,-90.44903866
216519,1063246,55,80,240.0,,3.79999995,3.0,8.10000038,,,20.19702379,-90.44903866
216519,1063248,0,20,776.0,,2.0,149.0,7.599999900000001,,,20.19702379,-90.44903866
216519,1063247,20,55,672.0,76.0,4.19999981,22.0,7.900000099999999,22.0,2.0,20.19702379,-90.44903866
216522,1063257,0,11,,,0.0,106.0,7.599999900000001,,,20.32467815,-90.4714101
216522,1063254,11,19,,27.0,0.0,17.0,8.19999981,40.0,33.0,20.32467815,-90.4714101
216522,1063255,43,69,,26.0,2.79999995,5.0,8.0,58.0,16.0,20.32467815,-90.4714101
216522,1063256,69,74,,24.0,2.79999995,3.0,8.10000038,50.0,26.0,20.32467815,-90.4714101
216522,1063258,27,43,,20.0,3.79999995,6.0,8.10000038,64.0,16.0,20.32467815,-90.4714101
216522,1063259,19,27,,20.0,0.0,8.0,8.19999981,55.0,25.0,20.32467815,-90.4714101
216540,1063293,0,8,,,10.0,286.0,7.900000099999999,,,20.31011447,-90.44793472
